"NoCom","CodeCli","NoEmp","DateCom","ALivAvant","DateEnv","NoMess","Port","Destinataire","AdrLiv","VilleLiv","RegionLiv","CodepostalLiv","PaysLiv"
"10248","VINET","5","2014-08-04","2014-09-01","2014-08-16","3","162","Vins et alcools Chevalier","59 rue de lAbbaye","Reims","","51100","France"
"10249","TOMSP","6","2014-08-05","2014-09-16","2014-08-10","1","58","Toms Spezialitäten","Luisenstr. 48","Münster","","44087","Allemagne"
"10250","HANAR","4","2014-08-08","2014-09-05","2014-08-12","2","329","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brésil"
"10251","VICTE","3","2014-08-08","2014-09-05","2014-08-15","1","207","Victuailles en stock","2, rue du Commerce","Lyon","","69004","France"
"10252","SUPRD","4","2014-08-09","2014-09-06","2014-08-11","2","256","Suprêmes délices","Boulevard Tirou, 255","Charleroi","","B-6000","Belgique"
"10253","HANAR","3","2014-08-10","2014-08-24","2014-08-16","2","291","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brésil"
"10254","CHOPS","5","2014-08-11","2014-09-08","2014-08-23","2","115","Chop-suey Chinese","Hauptstr. 31","Bern","","3012","Suisse"
"10255","RICSU","9","2014-08-12","2014-09-09","2014-08-15","3","742","Richter Supermarkt","Starenweg 5","Genève","","1204","Suisse"
"10256","WELLI","3","2014-08-15","2014-09-12","2014-08-17","2","70","Wellington Importadora","Rua do Mercado, 12","Resende","SP","08737-363","Brésil"
"10257","HILAA","4","2014-08-16","2014-09-13","2014-08-22","3","410","HILARIÓN-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela"
"10258","ERNSH","1","2014-08-17","2014-09-14","2014-08-23","1","703","Ernst Handel","Kirchgasse 6","Graz","","8010","Autriche"
"10259","CENTC","4","2014-08-18","2014-09-15","2014-08-25","3","16","Centro comercial Moctezuma","Sierras de Granada 9993","México D.F.","","5022","Mexique"
"10260","OTTIK","4","2014-08-19","2014-09-16","2014-08-29","1","275","Ottilies Käseladen","Mehrheimerstr. 369","Köln","","50739","Allemagne"
"10261","QUEDE","4","2014-08-19","2014-09-16","2014-08-30","2","15","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brésil"
"10262","RATTC","8","2014-08-22","2014-09-19","2014-08-25","3","241","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","Etats-Unis"
"10263","ERNSH","9","2014-08-23","2014-09-20","2014-08-31","3","730","Ernst Handel","Kirchgasse 6","Graz","","8010","Autriche"
"10264","FOLKO","6","2014-08-24","2014-09-21","2014-09-23","3","18","Folk och fä HB","Åkergatan 24","Bräcke","","S-844 67","Suède"
"10265","BLONP","2","2014-08-25","2014-09-22","2014-09-12","1","276","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France"
"10266","WARTH","3","2014-08-26","2014-10-07","2014-08-31","3","129","Wartian Herkku","Torikatu 38","Oulu","","90110","Finlande"
"10267","FRANK","4","2014-08-29","2014-09-26","2014-09-06","1","1043","Frankenversand","Berliner Platz 43","München","","80805","Allemagne"
"10268","GROSR","8","2014-08-30","2014-09-27","2014-09-02","3","331","GROSELLA-Restaurante","5ª Ave. Los Palos Grandes","Caracas","DF","1081","Venezuela"
"10269","WHITC","5","2014-08-31","2014-09-14","2014-09-09","1","23","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","Etats-Unis"
"10270","WARTH","1","2014-09-01","2014-09-29","2014-09-02","1","683","Wartian Herkku","Torikatu 38","Oulu","","90110","Finlande"
"10271","SPLIR","6","2014-09-01","2014-09-29","2014-09-30","2","23","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","Etats-Unis"
"10272","RATTC","6","2014-09-02","2014-09-30","2014-09-06","2","490","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","Etats-Unis"
"10273","QUICK","3","2014-09-05","2014-10-03","2014-09-12","3","380","QUICK-Stop","Taucherstraße 10","Cunewalde","","1307","Allemagne"
"10274","VINET","6","2014-09-06","2014-10-04","2014-09-16","1","30","Vins et alcools Chevalier","59 rue de lAbbaye","Reims","","51100","France"
"10275","MAGAA","1","2014-09-07","2014-10-05","2014-09-09","1","135","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","","24100","Italie"
"10276","TORTU","8","2014-09-08","2014-09-22","2014-09-14","3","69","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","5033","Mexique"
"10277","MORGK","2","2014-09-09","2014-10-07","2014-09-13","3","629","Morgenstern Gesundkost","Heerstr. 22","Leipzig","","4179","Allemagne"
"10278","BERGS","8","2014-09-12","2014-10-10","2014-09-16","2","463","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Suède"
"10279","LEHMS","8","2014-09-13","2014-10-11","2014-09-16","2","129","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Allemagne"
"10280","BERGS","2","2014-09-14","2014-10-12","2014-10-13","1","45","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Suède"
